abréger	abréger un discours
acajou	acaiacatinga
accro	accro(ché)
accus	accumulateur
ad lib	ad libitum
adgo	adagio
afro	afro-american
ag	agitato
agrég	agrégation
ailurope	ailuropode
airedale	airedale terrier
allo	allegro
alloc	allocation
allèle	allélomorphe
alltto	allégretto
allo	allégro
alu	aluminium
amphi	amphithéâtre
amphé	amphétamine
ampli	amplificateur
ampli	amplificateur
anar	anarchiste
anatife	anatifère
anciennt	anciennement
andno	andantino
animal	animaux fabuleux
anti-g	antigravitationnel
antiar	antiaris toxicaria
antilog	antilogarithme
appart	appartement
apéro	apéritif
archi	architecture
artiche	artichaut
aster	astérisque
auto	automobile
averto	avertissement
avis	avis au lecteur 
aéro	aéroplane
aéro	aéroplane
bac	baccalauréat
baccalauréat	baccalauréat ès arts
bactério	bactériologie
bande	bandes latérales indépendantes
baz	bazar
beach	beach-volley
beauf	beau-frère
beauf	beau-frère
beaujo	beaujolais
biblio	bibliographie
biclou	bicyclette
biclo	bicyclette
biclo	biclot
biclo	biclou
bif	bifteck
bifur	bifurcation
bigne	bignouf
bign'	bignouf
bigo	bigophone
bigor	bigorneau
bino	binoculaire
bio	biographie
bio	biologique
bi	bisexuel
bit	binary digit
blair	blaireau
bob	bobinette
bobeur	bobsleigh
bob	bobsleigh
bock	bocal
bombe	bombance
book	bookmaker
boston	boston dip
bouche	bouche en cul
boude	boudin
bourbon	bourbon whisky
bourge	bourgeois
bourgue	bourguignon
boustiffe	boustifaille
braco	braconnier
braco	braconnier
brandy	brand-wine
brick	brigantine
bricolo	bricoleur
broco	brocanteur
bugle	bugle-horn
bull	bulldozer
bélino	bélinogramme
bélino	bélinographe
cab	cabriolet
cab	cabot
cabot	caporal
cabot	cabotin
calva	calvados
came	camelote
cap'	capable
cardio	cardiologie
cardio	cardiologie
cardio	cardiologue
casse	cassement
catch	catch as catch can
catho	catholique
catin	catherine
cellulo	celluloïd
certif	certificat
chti	ch'timi
cha-cha	cha-cha-cha
champ'	champagne
champe	champagne
ch	cheval
chewing	chewing-gum
chimio	chimiothérapie
chipo	chipolata
chiro	chiropracteur
chir	chirurgie
chirurgo	chirurgien
chromo	chromolithographie
chrono	chronomètre
chrono	chronométreur
chti	chtimi
château	châteaubriant
ciné	cinéma
cinéma	cinématographe
claustro	claustrophobie
client	clille
clito	clitoris
coca	cocaïne
coco	cocaïne
cogne	cognac
collabo	collaborateur
collec	collection
colog	cologarithme
colon	colonel
combine	combinaison
commonwealth	commonwealth of nations
compil	compilation
compile	compilation
compta	comptabilité
compte	compte chèque postal
compé	compétition
condo	condominium
congélo	congélateur
conseil	conseil d'administration
conso	consommation
corono	coronarographie
cosec	cosécante
croco	crocodile
cuti	cuti-réaction
cyclo	cyclomoteur
cyno	cynocéphale
dactyle	dactylopodite
deb	debutante
der	dernier
derch	derrière
derche	derrière
derge	derrière
dermato	dermatologie
diapo	diapositive
didact	didactique
dirlo	directeur
direction	direction paris
dissert(e)	dissertation
division	division aéroportée
doc	docteur en médecine
doc	document
docu	documentaire
doc	documentation
drug	drug-store
drug	drugstore
déca	décaféiné
déca	décaféiner
déci	décilitre
décontracte	décontracté
déco	décoration
dégueu	dégueulasse
démago	démagogue
dém	démission
désintox(e)	désintoxication
ecsta	ecstasy
embroc	embrocation
emmerde	emmerdement
entourloupe	entourloupette
esq.	esquire
esq	esquire
estom	estomac
estome	estomac
et al	et alia
et al	et alii
et al	et aliæ
etc	et cetera
etc	et cætera
ethno	ethnologie
ethno	ethnologie
exc	excellence
exhibi	exhibitionniste
export	exportation
exposition	exposition van gogh
extra	extraordinaire
fac	faculté
facob	facultatif obligatoire
false	falzar
fan	fanatic
fana	fanatique
far	farci
ferro	ferroprussiate
flag	flagrant délit
flague	flagrant délit
flingot	flingue
flip	flipper
fluo	fluorescent
fluo	fluorescent
folklo	folklorique
formid	formidable
fort	forte
fortifes	fortifications
fortifs	fortifications
fox	fox-terrier
fox	fox-terrier
franc	franc c. f. a
franco	franco porto
fric	fricot
frigo	frigorifié
frigo	frigorifique
froido	froidement
fromage	fromegi
fromage	frometon
funi	funiculaire
fut'	futal
futé	fut'-fut'
gallon	gal. can
galure	galurin
galvano	galvanoplastie
galvano	galvanotype
gaspille	gaspillage
gastro	gastronomique
gestape	gestapo
giga	gigaoctet
gin	gin-rami
gin	gin-rummy
goal	goal-keeper
gode	godemiché
gode	godemiché
godilles	godillot
gonio	goniomètre
gonio	goniométrie
gradus	gradus ad parnassum
gramo	gramophone
granny	granny smith
grill	grill-room
greco	groupement
gummi	gummiknüppel
gym	gymnastique
gynéco	gynécologue
gynéco	gynécologie
gynéco	gynécologiste
gynéco	gynécologue
géo	géographie
géo	géométrie
hack	hackney
hamburger	hamburger steak
hand	hand-ball
hand	handball
hard	hard rock
hard	hardware
hasch	haschich
hasch	haschisch
hebdo	hebdomadaire
hi-fi	high fidelity
hip	hippie
hip	hippies
hippo	hippopotame
hip	hippy
holding	holding company
homo	homosexuel
hom	homonyme
horresco	horresco referens
hystéro	hystérique
hélico	hélicoptère
hélio	héliogravure
héro	héroïne
hérédo	hérédosyphilis
ibid	ibidem
icono	iconographie
illusion	illuse(s)
impec	impeccable
impec	impeccable
imper	imperméable
impro	improvisation
in partibus	in partibus infidelium
in-octavo	in-octavique 
incruste	incrustation
indic	indicateur
info	information
initial	initiales formant le nom d'
injection	injection hypodermique
injection	injection sous-cutanée
inox	inoxydable
insti	instituteur
inter	interurbain
inter	intérieur
interro	interrogation
intox	intoxication
intoxe	intoxication
intox	intoxication
invar	invariable
invit	invitation
jag	jaguar
jap	japanese
jockey	jockey-club
jodhpur	jodhpur breeches
joli	jojo
juke	juke-box
jumbo	jumbo-jet
justif	justification
jèse	jésuite
jèze	jèse
kapo	kamerad polizei
kick	kick-starter
kil	kilo
kilo	kilogramme
kinési	kinésithérapeute
kinési	kinésithérapie
labo	laboratoire
labo	laboratoire
lanche	lanchara
latin	lat. pop
liste	liste de fautes
litho	lithographie
litho	lithographie
loco	locomotive
log	logarithme
log	logarithme
loub	loubard
lunch	luncheon
macchab	macchabée
macrophoto	macrophotographie
macule	maculature
magnéto	magnétoélectrique
magnéto	magnétophone
majo	majoritaire
manip	manipulation
manipulation	manipulations génétiques 
margis	maréchal des logis
marine	marine de guerre
marlin	marlinspike
maso	masochiste
mat'	matin
math	mathématique
maths	mathématique
matu	maturité
maxi	maximal
mayo	mayonnaise
maître	maître bolbec et son mari
maîtresse	maître bolbec et son mari
micro	microphone
micro	micro-ordinateur
micro	micro-informatique
micro	micro-ordinateur
mini	mini-jupe
mini	mini-ordinateur
mino	mineur
min	minute
miso	misogyne
miss	mistress
mobile	moblot
mob	mobylette
modif	modification
mod 6	modulo
mole	molécule
momi	mominette
mono	moniteur
mono	monophonique
mono	moniteur
mono	monocylindre
mono	monophonie
mons	monsieur
morion	mormorion
moto	motocyclette
multiple	multiple à droite (à gauche) d'un élément
mytho	mythomane
mécano	mécanicien
mégalo	mégalomane
mélo	mélodrame
mémo	mémorandum
méphisto	méphistophélès
méta	métaldéhyde
métallo	métall(urgiste)
métro	métropolitain
métro	métropolitain
métro	métropolitain
météo	météorologie
météo	météorologie
météo	météorologique
mêlé-casse	mêlé-cassis
nap	napoléon
narco	narcotrafiquant
nave	navet
news	newsmagazine
nickel	nicolaus
nordaf	nord-africain
nympho	nymphomane
néo	néoplasme
occase	occasion
offlag	offizierlager
offre	offre publique d'échange
oflag	offizierlager
op	op art
op. cit	op. cit.
ophtalmo	ophtalmologiste
ophtalmo	ophtalmologue
op	opus
orthicon	orthiconoscope
p. j	p. j.
p. s. v	p. s. v.
paf	paffé
palu	paludisme
panchro	panchromatique
pano	panoramique
para	parachutiste
para	parachutiste
parano	paranoïa
parano 	paranoïaque
passe	passe-partout
pelote	peloton
perco	percolateur
perf	perfecto
perfo	perforeuse
perfo	perforateur
perfo	perforation
perfo	perforeuse
perf	perfusion
perm	perme
perquise	perquisition
perso	personnel
petit-déj'	petit-déjeuner
phaco	phacochère
philo	philosophie
philo	philosophie
phono	phonographe
photo	photographie
photocompo	photocomposition
piano	piano-forte
pi	pied
pipe	pipeline
pipe	pipeline
pit	pit-bull
pit	pitbull
pive	pivois
pixel	picture
pizz	pizzicato
placo	placoplâtre
plan	plan d'épargne 
plum	plum-cake
plum	plum-pouding
plum	plum-pudding
plume	plumard
pneu	pneumatique
pneu	pneumatique
point	points suspensifs
poisse	poisson
policier	policier d'une police secrète
polio	poliomyélite
poly	polycopié
poly	polycopié
pop	pop music
pop	pop art
porno	pornographique
porno	pornographique
postère	postérieur
pote	poteau
po	pouce
pouffe	pouffiasse
pouffe	poufiasse
poutre	poutres ap'
premier	première partie du baccalauréat
premier	première année de droit
prisu	prisunic
pro	professionnel
probit	probability unit
produit	produit national net
prof	professeur
projo	projecteur
prolo	prolétaire
prono	pronostic
propfan	propeller fan
propé	propédeutique
protection	protection rapprochée 
proto	prototype
prov	proverbe
provise	provision
provoc	provocation
proxéno	proxénète
préado	préadolescent
préampli	préamplificateur
préampli	préamplification
prébac	prébaccalauréat
prépa	préparatoire
prévence	prévention
pseudo	pseudonyme
pseudo	pseudonyme
psy	psychanalyste
psy	psychanalytique
psy	psychiatre
psy	psychiatrique
psy	psychologue
psycho	psychologie
pub	public house
pub	publicité
pull	pull-over
pédago	pédagogue
pédé	pédéraste
pédé	pédéraste
périf	périphérique
périph	périphérique
quadra	quadragénaire
quadri	quadriphonie
quadri	quadriphonique
quinqua	quinquagénaire
quota	quota pars
racho	rachitique
radic	radical
radio	radio-
radio	radiophonie
radio	radiotéléphonie
radio	radiogramme
radio	radiographie
rag	rag-time
rag	ragtime
rando	randonnée
rata	ratatouille
ravito	ravitaillement
relever	relevé des condamnations
restau	restaurant universitaire
restaurant	restaurant gastronomique
resto	restaurant universitaire
retranchement	retranchement d'une syllabe
rhabi	rhabillage
rhino	rhinocéros
rhodia	rhodiaceta
rhodo	rhodoïd
rhumato	rhumatologie
rhumato	rhumatologie
rhumato	rhumatologiste
rhumato	rhumatologue
rhéto	rhétoricien
rift	rift-valley
rit	ritardando
rock	rock'n'roll
rocker	rock'n'roll
rockeur	rock'n'roll
roto	rotative
roto	rotative
rouille	rouillade
règlement	règlement de police
réac	réactionnaire
réa	réanimation
réassort	réassortiment
récup	récupération
réduc	réduction
régul	régulier
réimper	réimperméabilisation
répète	répétition
rétro	rétrograde
rétro	rétrograde
rétro	rétroviseur
réveil	réveille-matin
s. o. s.	s. o. s. ! 
s. v. p	s. v. p.
sado	sadique
sado	sadique
sadomaso	sadomasochiste
salmis	salmigondis
sana	sanatorium
sape	sapement
sax	saxophone
saxo	saxophone
scato	scatologique
schizo	schizophrène
schizo	schizophrène
schola	schola cantorum
scone	schonbrot
self	self-service
self	self-inductance
sergot	sergent de ville
ship	shipchandler
show-biz	show-business
sigle	sigle simple
sinus	sin. a
situ	situationniste
skate	skate-board
skeleton	skeleton toboggan
skin	skinhead
smok	smoking
soap	soap-opéra
sono	sonorisation
sous-ex	sous-exposer
sous-off	sous-officier
sous-prolo	sous-prolétaire
spi	spinnaker
spiegel	spiegeleisen
spi	spinnaker
spéléo	spéléologie
spéléo	spéléologique
spéléo	spéléologue
stage	stage-coach
stalag	stammlager
stal	stalinien
staphylo	staphylocoque
stomato	stomatologue
string	stringendo
strip	strip-tease
stuka	sturzkampfflugzeug
stylo	stylographe
st	stère
sténo	sténographe
stéréo	stéréotype
stéréophonie	stéréophonie et quadriphonie
sup	supérieur
super	supercarburant
super g	supergéant
sup	supplémentaire
suppôt	suppositoire
surex	surexposer
surf 	surf-casting
survêt	survêtement
sweat	sweat-shirt
sweat	sweatshirt
synchro	synchronisation
synchro	synchroniseur
syntagme	syntagmes
synthé	synthétiseur
séropo	séropositif
tac	taxi
tala	talapoin
tansad	tan(dem) sad(dle)
tarmac	tarmacadam
taxi	taximètre
teddy	teddy-bear
ten	tenuto
tex	textile
thalasso	thalassothérapie
th	thermie
thoraco	thoracoplastie
tomo	tomographie
top	top niveau
top	top(-)model
topo	topographie
toxico	toxicomane
tract	tractate
tram	tramway
transat	transatlantique
transfo	transformateur
traumato	traumatologie
trav	travelo
trench	trench-coat
trichlo	trichloréthylène
trigo	trigonométrie
trouduc	trou du cul
typo	typographe
typo	typographie
typo	typographie
télé	télévision
télé	télévision
télé	téloche
tétra	tétragonoptérinés
unité	unité d'enseignement et de recherche
vague	vaguenaude
valpo	valpolicella
vamp	vampire
vanity	vanity-case
vape	vapeur
ventilo	ventilateur
vidéo	vidéofréquence
viet	vietnamien
visu	visuel
volley	volley-ball
vopo	volkspolizei
vélo	vélocipède
véloce	vélocipède
vérif	vérifieur
véto	vétérinaire
waters	water-closet
whiskies	whiskyboe
whisky	whiskyboe
zanzi	zanzibar
zoo	zoo(logique)
écho	échographie
électro	électrocardiographe
électro	électrophone
épilo	épileptique
